K,silhouette,calinski_harabasz,davies_bouldin,mean_size,tiny_pct,composite
50,0.0015269613215860673,88.02084054824599,4.061686701297544,249.82,0.0,0.6777284898406625
75,-0.0024399797071625027,65.42757783902806,4.0677519061808525,166.54666666666665,6.666666666666667,0.34445351735564333
100,-0.0023818865250450675,53.095301493381406,3.998186557776368,124.91,10.0,0.3888726813347481
125,-0.006406307409132593,45.16502108477569,3.9286444157696123,99.928,13.600000000000001,0.2920175688520024
150,-0.00619510028078458,39.59987052904283,3.88498508795665,83.27333333333333,23.333333333333332,0.3422076545769797
