K,silhouette,calinski_harabasz,davies_bouldin,mean_size,composite
50,-0.0023663740552952077,86.9741823765517,4.183662956981957,249.82,0.6666666599007974
75,-0.004262266633882923,64.83875316278899,4.082978093595938,166.54666666666665,0.4834240271554533
100,-0.004072911708737513,52.732944415458334,3.965525646178638,124.91,0.5307020366648817
125,-0.006299095250575269,44.91381283767939,3.9035397008844113,99.928,0.3858992926380569
150,-0.007220776421030229,39.43394371159494,3.85509762114345,83.27333333333333,0.3333333333333333
